Track ID,Track Name,Artist,Album,Duration (ms),Popularity,Genre
6riCsiX9csuomBYnenrtGd,Saadi Galli Aaja,"Rochak Kohli, Ayushmann Khurrana, Neeti Mohan",Nautanki Saala !,253416,62,"bollywood, hindi pop, desi"
3MVPReTwLNOBFb6KjiIRNM,Kabhi Jo Baadal Barse,Arijit Singh,Jackpot,254300,60,"hindi pop, bollywood, desi, bangla pop"
6sF70gMVf9jg8QEogyVqBl,"Pal Pal Dil Ke Paas - From ""Blackmail""",Kishore Kumar,Audiobiography - Kishore Kumar,328160,61,"bangla pop, ghazal, hindi pop, bollywood"
7yDHHVKLbvDmVw1XXhDDIO,Pehle Bhi Main,"Vishal Mishra, Raj Shekhar",ANIMAL,250158,76,"hindi pop, bollywood"
0Ymjv0OJeIIPXr6s9wi3iW,MATHEMATICAL DISRESPECT,Lil Mabu,MATHEMATICAL DISRESPECT,88304,59,"new york drill, drill"
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,Not Like Us,274192,96,"hip hop, west coast hip hop"
561jH07mF1jHuk7KlaeF0s,Mockingbird,Eminem,Encore (Deluxe Version),250760,85,"rap, hip hop"
0CVfovmUv7BnemOyTtOcbL,Sanam Re,"Mithoon, Arijit Singh",Sanam Re,308714,64,"bollywood, hindi pop, desi"
2qBBAuIg8FUBYiJ3QRrVsP,Teri Baaton Mein Aisa Uljha Jiya Title Song,"Raghav, Tanishk Bagchi, Asees Kaur, Nina Mathur",Teri Baaton Mein Aisa Uljha Jiya,153083,66,"bollywood, desi, desi pop, hindi indie, hindi pop"
5uUEytfFSWfTzu5EqZxQju,Sab Tera,"Armaan Malik, Shraddha Kapoor",Baaghi,228116,55,"hindi pop, bollywood, kannada pop, tollywood, telugu pop"
7CY0CmCpSglfUKCBOOiRfw,Illegal Weapon 2.0,"Jasmine Sandlas, Garry Sandhu, Tanishk Bagchi, Intense, Priya Saraiya",Street Dancer 3D,188606,61,"bhangra, punjabi pop, desi, bollywood, desi pop, hindi pop"
4ZLzoOkj0MPWrTLvooIuaa,Get You The Moon (feat. Snøw),"Kina, Snøw",Get You The Moon (feat. Snøw),179080,72,Lo-Fi / Chill
55XrFge2dEZwYzNl128DwN,Losing Interest,"itssvd, CORBAL, Shiloh Dynasty, Dibyo",Missing,120546,66,Pop
5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,Indigo (Extended),184613,83,r&b
7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,155151,22,Trap / Hip-Hop + Electronic Fusion
7z7kvUQGwlC6iOl7vMuAr9,Dancing In The Flames,The Weeknd,Dancing In The Flames,220036,80,Lo-Fi / Chill
6A25J9As7towpxovYryAWr,Such a Whore (Stellular Remix),JVLA,Such a Whore (Stellular Remix),147638,63,Trap / Hip-Hop + Electronic Fusion
0BV0AYGLVlu2SdjN3J9twp,Fed Up,Ghostemane,ANTI-ICON,151625,65,"dark trap, horrorcore, emo rap, cloud rap, punk rap, rap metal"
4JQSMg83F8qYwSBt5xOXsQ,Diamonds,Rihanna,Unapologetic (Deluxe),225146,56,Classic Rock / Soft Rock
2VqAEP1yY5T523K7bZtL8a,Right Now (Na Na Na),Akon,Freedom,240746,2,Classic Rock / Soft Rock
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),"Drake, Yeat",For All The Dogs,260111,76,"rap, hip hop"
0TL0LFcwIBF5eX7arDIKxY,Husn,Anuv Jain,Husn,217894,76,"indian indie, hindi indie, hindi pop"
7MJQ9Nfxzh8LPZ9e9u68Fq,Lose Yourself,Eminem,SHADYXV,320626,70,"rap, hip hop"
6xlOnm5MITIKtixzJW8R0j,DARKSIDE,Neoni,Wars In A Wonderland,168000,72,EDM / Electronic
6r2jK1A6oFRPREZfxjc5d1,Panda,Desiigner,Panda,226520,51,Hip-Hop / Rap
5bQ6oDLqvw8tywmnSmwEyL,Apna Bana Le,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",Bhediya (Original Motion Picture Soundtrack),261702,73,"gujarati pop, bollywood, hindi pop, desi, gujarati garba"
6VObnIkLVruX4UVyxWhlqm,Skyfall,Adele,Skyfall,286480,84,soft pop
3BJe4B8zGnqEdQPMvfVjuS,Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition,265427,82,Classic Rock / Soft Rock
5rAUZy2eDdegBxUVYxePK2,In The End - Mellen Gi Remix,"Tommee Profitt, Fleurie, Mellen Gi",In The End,218188,67,Anime / OST / Instrumental
6JP8RinqsLkPiBi7B0VLGJ,Apa Fer Milaange,"Savi Kahlon, The Masterz",Apa Fer Milaange,254142,67,Anime / OST / Instrumental
75p6BrziB5urmwPCeXl3y7,Main Dhoondne Ko Zamaane Mein,Arijit Singh,Heartless,262986,66,"hindi pop, bollywood, desi, bangla pop"
1v1oIWf2Xgh54kIWuKsDf6,Runaway,AURORA,All My Demons Greeting Me As A Friend (Deluxe),248826,76,"norwegian pop, art pop"
1TAgfFRsTQibIrFd5juSkU,Big Dawgs x Knife Talk - Remix,Nenadid,Big Dawgs x Knife Talk (Remix),167125,30,Hip-Hop / Rap
1o6x7iRcDQPEEg8YPgLeVA,Day in the Life,Central Cee,Wild West,188689,67,"uk drill, drill, grime"
3LtpKP5abr2qqjunvjlX5i,Doja,Central Cee,Doja,97392,76,"uk drill, drill, grime"
2swRdG3vAk5bYBR3oSf1cg,BM (London View),OTP,BM (London View),164623,1,"uk drill, drill"
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),140733,77,"uk drill, drill, grime"
6WHBy2AqMsrVZsfy7Td8zF,London Scammer,Tankz,London Scammer,193258,51,"uk drill, drill"
3jSI2QXeLrfIdjBWOE9Gn9,Je M'appelle,Benzz,Rap Gym Drip,139574,43,"uk drill, drill"
3AWDeHLc88XogCaCnZQLVI,Cry For Me,The Weeknd,Hurry Up Tomorrow,224136,89,R&B / Soul
1qDrWA6lyx8cLECdZE7TV7,Somebody That I Used To Know,"Gotye, Kimbra",Making Mirrors,244884,79,Classic Rock / Soft Rock
